"tx_id","tx_type","tx_date","material","drum_id","repro_id","tx_notes","created_at","updated_at","process_id","delivery_id","batch_code","order_id","direction"
37,"import","2021-01-06","Ethanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
38,"import","2021-01-12","T-Butanol",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
39,"import","2020-01-05","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
40,"import","2021-01-20","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
41,"import","2021-01-22","Pyridine",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
42,"import","2021-01-25","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
43,"import","2021-02-04","Heptane 99%",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
44,"import","2021-02-04","Hexane 99%",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
45,"import","2021-02-09","Pentane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
46,"import","2021-02-10","Toluene",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
47,"import","2021-02-10","CycloHexane",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
48,"import","2021-02-18","DCM",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
49,"import","2021-02-18","Acetone",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
50,"import","2021-02-18","Ethyl Acetate",NULL,NULL,NULL,"2024-12-01 18:05:34.273332+00","2024-12-01 18:05:34.273332+00",NULL,1,NULL,NULL,"IN"
51,"import","2021-02-23","Iso Pentane",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
52,"import","2021-02-25","MTBE",NULL,NULL,NULL,"2024-12-01 18:06:12.994304+00","2024-12-01 18:06:12.994304+00",NULL,1,NULL,NULL,"IN"
